Codigo,Flag,Tempo de Execucao(s),Intervalo de Confianca,Nome do Experimento
0,code1,-O0,0.41769999999999996,"(0.4132767258664368, 0.4221232741335631)",code1 -O0
1,code1,-O1,0.4213,"(0.4156667693878679, 0.4269332306121321)",code1 -O1
2,code1,-O2,0.42110000000000003,"(0.4179645562346619, 0.42423544376533817)",code1 -O2
3,code1,-O3,0.4173,"(0.41479795463961905, 0.41980204536038096)",code1 -O3
4,code1,-Os,0.42139999999999994,"(0.4170788126740905, 0.42572118732590936)",code1 -Os
5,code2,-O0,0.40919999999999995,"(0.40471608214686045, 0.41368391785313946)",code2 -O0
6,code2,-O1,0.40709999999999996,"(0.4009052863853911, 0.41329471361460884)",code2 -O1
7,code2,-O2,0.40499999999999997,"(0.4002788852877682, 0.4097211147122317)",code2 -O2
8,code2,-O3,0.4062,"(0.39978567739876764, 0.4126143226012324)",code2 -O3
9,code2,-Os,0.4053,"(0.40168290572088716, 0.4089170942791128)",code2 -Os
