Executavel,Flag,Codigo,Tempo_Compilacao(s)
0,code1_0,-O0,code1,"0,036"
1,code1_1,-O1,code1,"0,040"
2,code1_2,-O2,code1,"0,046"
3,code1_3,-O3,code1,"0,048"
4,code1_s,-Os,code1,"0,043"
5,code2_0,-O0,code2,"0,033"
6,code2_1,-O1,code2,"0,038"
7,code2_2,-O2,code2,"0,042"
8,code2_3,-O3,code2,"0,042"
9,code2_s,-Os,code2,"0,041"
10,code1_0,-O0,code1,"0,035"
11,code1_1,-O1,code1,"0,039"
12,code1_2,-O2,code1,"0,046"
13,code1_3,-O3,code1,"0,048"
14,code1_s,-Os,code1,"0,043"
15,code2_0,-O0,code2,"0,034"
16,code2_1,-O1,code2,"0,039"
17,code2_2,-O2,code2,"0,043"
18,code2_3,-O3,code2,"0,041"
19,code2_s,-Os,code2,"0,041"
20,code1_0,-O0,code1,"0,036"
21,code1_1,-O1,code1,"0,041"
22,code1_2,-O2,code1,"0,046"
23,code1_3,-O3,code1,"0,048"
24,code1_s,-Os,code1,"0,042"
25,code2_0,-O0,code2,"0,034"
26,code2_1,-O1,code2,"0,039"
27,code2_2,-O2,code2,"0,043"
28,code2_3,-O3,code2,"0,042"
29,code2_s,-Os,code2,"0,041"
30,code1_0,-O0,code1,"0,040"
31,code1_1,-O1,code1,"0,042"
32,code1_2,-O2,code1,"0,047"
33,code1_3,-O3,code1,"0,049"
34,code1_s,-Os,code1,"0,044"
35,code2_0,-O0,code2,"0,034"
36,code2_1,-O1,code2,"0,039"
37,code2_2,-O2,code2,"0,042"
38,code2_3,-O3,code2,"0,042"
39,code2_s,-Os,code2,"0,040"
40,code1_0,-O0,code1,"0,035"
41,code1_1,-O1,code1,"0,040"
42,code1_2,-O2,code1,"0,046"
43,code1_3,-O3,code1,"0,050"
44,code1_s,-Os,code1,"0,042"
45,code2_0,-O0,code2,"0,033"
46,code2_1,-O1,code2,"0,039"
47,code2_2,-O2,code2,"0,042"
48,code2_3,-O3,code2,"0,042"
49,code2_s,-Os,code2,"0,041"
50,code1_0,-O0,code1,"0,035"
51,code1_1,-O1,code1,"0,040"
52,code1_2,-O2,code1,"0,046"
53,code1_3,-O3,code1,"0,048"
54,code1_s,-Os,code1,"0,045"
55,code2_0,-O0,code2,"0,033"
56,code2_1,-O1,code2,"0,040"
57,code2_2,-O2,code2,"0,042"
58,code2_3,-O3,code2,"0,042"
59,code2_s,-Os,code2,"0,040"
60,code1_0,-O0,code1,"0,035"
61,code1_1,-O1,code1,"0,041"
62,code1_2,-O2,code1,"0,046"
63,code1_3,-O3,code1,"0,048"
64,code1_s,-Os,code1,"0,043"
65,code2_0,-O0,code2,"0,034"
66,code2_1,-O1,code2,"0,041"
67,code2_2,-O2,code2,"0,042"
68,code2_3,-O3,code2,"0,043"
69,code2_s,-Os,code2,"0,041"
70,code1_0,-O0,code1,"0,035"
71,code1_1,-O1,code1,"0,042"
72,code1_2,-O2,code1,"0,047"
73,code1_3,-O3,code1,"0,049"
74,code1_s,-Os,code1,"0,043"
75,code2_0,-O0,code2,"0,034"
76,code2_1,-O1,code2,"0,038"
77,code2_2,-O2,code2,"0,042"
78,code2_3,-O3,code2,"0,042"
79,code2_s,-Os,code2,"0,040"
80,code1_0,-O0,code1,"0,037"
81,code1_1,-O1,code1,"0,040"
82,code1_2,-O2,code1,"0,049"
83,code1_3,-O3,code1,"0,049"
84,code1_s,-Os,code1,"0,043"
85,code2_0,-O0,code2,"0,034"
86,code2_1,-O1,code2,"0,039"
87,code2_2,-O2,code2,"0,042"
88,code2_3,-O3,code2,"0,042"
89,code2_s,-Os,code2,"0,042"
90,code1_0,-O0,code1,"0,035"
91,code1_1,-O1,code1,"0,039"
92,code1_2,-O2,code1,"0,045"
93,code1_3,-O3,code1,"0,047"
94,code1_s,-Os,code1,"0,042"
95,code2_0,-O0,code2,"0,034"
96,code2_1,-O1,code2,"0,039"
97,code2_2,-O2,code2,"0,042"
98,code2_3,-O3,code2,"0,043"
99,code2_s,-Os,code2,"0,041"
