Executavel,Flag,Codigo,Tempo_Execucao(s)
0,code1_0,-O0,code1,"0,411"
1,code1_1,-O1,code1,"0,415"
2,code1_2,-O2,code1,"0,422"
3,code1_3,-O3,code1,"0,419"
4,code1_s,-Os,code1,"0,419"
5,code2_0,-O0,code2,"0,407"
6,code2_1,-O1,code2,"0,397"
7,code2_2,-O2,code2,"0,401"
8,code2_3,-O3,code2,"0,406"
9,code2_s,-Os,code2,"0,402"
10,code1_0,-O0,code1,"0,414"
11,code1_1,-O1,code1,"0,420"
12,code1_2,-O2,code1,"0,425"
13,code1_3,-O3,code1,"0,417"
14,code1_s,-Os,code1,"0,423"
15,code2_0,-O0,code2,"0,412"
16,code2_1,-O1,code2,"0,405"
17,code2_2,-O2,code2,"0,403"
18,code2_3,-O3,code2,"0,426"
19,code2_s,-Os,code2,"0,399"
20,code1_0,-O0,code1,"0,427"
21,code1_1,-O1,code1,"0,410"
22,code1_2,-O2,code1,"0,428"
23,code1_3,-O3,code1,"0,423"
24,code1_s,-Os,code1,"0,412"
25,code2_0,-O0,code2,"0,401"
26,code2_1,-O1,code2,"0,428"
27,code2_2,-O2,code2,"0,406"
28,code2_3,-O3,code2,"0,400"
29,code2_s,-Os,code2,"0,408"
30,code1_0,-O0,code1,"0,416"
31,code1_1,-O1,code1,"0,420"
32,code1_2,-O2,code1,"0,415"
33,code1_3,-O3,code1,"0,414"
34,code1_s,-Os,code1,"0,420"
35,code2_0,-O0,code2,"0,411"
36,code2_1,-O1,code2,"0,403"
37,code2_2,-O2,code2,"0,413"
38,code2_3,-O3,code2,"0,409"
39,code2_s,-Os,code2,"0,414"
40,code1_0,-O0,code1,"0,419"
41,code1_1,-O1,code1,"0,412"
42,code1_2,-O2,code1,"0,424"
43,code1_3,-O3,code1,"0,413"
44,code1_s,-Os,code1,"0,422"
45,code2_0,-O0,code2,"0,406"
46,code2_1,-O1,code2,"0,401"
47,code2_2,-O2,code2,"0,394"
48,code2_3,-O3,code2,"0,402"
49,code2_s,-Os,code2,"0,404"
50,code1_0,-O0,code1,"0,417"
51,code1_1,-O1,code1,"0,430"
52,code1_2,-O2,code1,"0,421"
53,code1_3,-O3,code1,"0,421"
54,code1_s,-Os,code1,"0,426"
55,code2_0,-O0,code2,"0,406"
56,code2_1,-O1,code2,"0,412"
57,code2_2,-O2,code2,"0,399"
58,code2_3,-O3,code2,"0,399"
59,code2_s,-Os,code2,"0,411"
60,code1_0,-O0,code1,"0,416"
61,code1_1,-O1,code1,"0,425"
62,code1_2,-O2,code1,"0,417"
63,code1_3,-O3,code1,"0,418"
64,code1_s,-Os,code1,"0,430"
65,code2_0,-O0,code2,"0,415"
66,code2_1,-O1,code2,"0,410"
67,code2_2,-O2,code2,"0,415"
68,code2_3,-O3,code2,"0,407"
69,code2_s,-Os,code2,"0,398"
70,code1_0,-O0,code1,"0,415"
71,code1_1,-O1,code1,"0,428"
72,code1_2,-O2,code1,"0,415"
73,code1_3,-O3,code1,"0,415"
74,code1_s,-Os,code1,"0,430"
75,code2_0,-O0,code2,"0,402"
76,code2_1,-O1,code2,"0,405"
77,code2_2,-O2,code2,"0,410"
78,code2_3,-O3,code2,"0,399"
79,code2_s,-Os,code2,"0,408"
80,code1_0,-O0,code1,"0,412"
81,code1_1,-O1,code1,"0,434"
82,code1_2,-O2,code1,"0,424"
83,code1_3,-O3,code1,"0,413"
84,code1_s,-Os,code1,"0,415"
85,code2_0,-O0,code2,"0,422"
86,code2_1,-O1,code2,"0,409"
87,code2_2,-O2,code2,"0,408"
88,code2_3,-O3,code2,"0,416"
89,code2_s,-Os,code2,"0,405"
90,code1_0,-O0,code1,"0,430"
91,code1_1,-O1,code1,"0,419"
92,code1_2,-O2,code1,"0,420"
93,code1_3,-O3,code1,"0,420"
94,code1_s,-Os,code1,"0,417"
95,code2_0,-O0,code2,"0,410"
96,code2_1,-O1,code2,"0,401"
97,code2_2,-O2,code2,"0,401"
98,code2_3,-O3,code2,"0,398"
99,code2_s,-Os,code2,"0,404"
