Executavel,Flag,Codigo,Tamanho
0,code,-O0,code1,16184
1,code,-O1,code1,16184
2,code,-O2,code1,16184
3,code,-O3,code1,16184
4,code,-Os,code1,16136
5,code2,-O0,code2,16032
6,code2,-O1,code2,16072
7,code2,-O2,code2,16072
8,code2,-O3,code2,16072
9,code2,-Os,code2,16032
10,code,-O0,code1,16184
11,code,-O1,code1,16184
12,code,-O2,code1,16184
13,code,-O3,code1,16184
14,code,-Os,code1,16136
15,code2,-O0,code2,16032
16,code2,-O1,code2,16072
17,code2,-O2,code2,16072
18,code2,-O3,code2,16072
19,code2,-Os,code2,16032
20,code,-O0,code1,16184
21,code,-O1,code1,16184
22,code,-O2,code1,16184
23,code,-O3,code1,16184
24,code,-Os,code1,16136
25,code2,-O0,code2,16032
26,code2,-O1,code2,16072
27,code2,-O2,code2,16072
28,code2,-O3,code2,16072
29,code2,-Os,code2,16032
30,code,-O0,code1,16184
31,code,-O1,code1,16184
32,code,-O2,code1,16184
33,code,-O3,code1,16184
34,code,-Os,code1,16136
35,code2,-O0,code2,16032
36,code2,-O1,code2,16072
37,code2,-O2,code2,16072
38,code2,-O3,code2,16072
39,code2,-Os,code2,16032
40,code,-O0,code1,16184
41,code,-O1,code1,16184
42,code,-O2,code1,16184
43,code,-O3,code1,16184
44,code,-Os,code1,16136
45,code2,-O0,code2,16032
46,code2,-O1,code2,16072
47,code2,-O2,code2,16072
48,code2,-O3,code2,16072
49,code2,-Os,code2,16032
50,code,-O0,code1,16184
51,code,-O1,code1,16184
52,code,-O2,code1,16184
53,code,-O3,code1,16184
54,code,-Os,code1,16136
55,code2,-O0,code2,16032
56,code2,-O1,code2,16072
57,code2,-O2,code2,16072
58,code2,-O3,code2,16072
59,code2,-Os,code2,16032
60,code,-O0,code1,16184
61,code,-O1,code1,16184
62,code,-O2,code1,16184
63,code,-O3,code1,16184
64,code,-Os,code1,16136
65,code2,-O0,code2,16032
66,code2,-O1,code2,16072
67,code2,-O2,code2,16072
68,code2,-O3,code2,16072
69,code2,-Os,code2,16032
70,code,-O0,code1,16184
71,code,-O1,code1,16184
72,code,-O2,code1,16184
73,code,-O3,code1,16184
74,code,-Os,code1,16136
75,code2,-O0,code2,16032
76,code2,-O1,code2,16072
77,code2,-O2,code2,16072
78,code2,-O3,code2,16072
79,code2,-Os,code2,16032
80,code,-O0,code1,16184
81,code,-O1,code1,16184
82,code,-O2,code1,16184
83,code,-O3,code1,16184
84,code,-Os,code1,16136
85,code2,-O0,code2,16032
86,code2,-O1,code2,16072
87,code2,-O2,code2,16072
88,code2,-O3,code2,16072
89,code2,-Os,code2,16032
90,code,-O0,code1,16184
91,code,-O1,code1,16184
92,code,-O2,code1,16184
93,code,-O3,code1,16184
94,code,-Os,code1,16136
95,code2,-O0,code2,16032
96,code2,-O1,code2,16072
97,code2,-O2,code2,16072
98,code2,-O3,code2,16072
99,code2,-Os,code2,16032
